row_id,timestamp,user_age,user_bmi,user_body_fat_pct,fitness_level,experience_years,resting_heart_rate,max_heart_rate,heart_rate_reserve,vo2_max_estimate,fitness_goal,time_available_min,weekly_consistency_days,workout_adherence_pct,preferred_timing,social_preference,sleep_quality,stress_level,diet_quality_score,hydration_liters,activity_level,injury_history,equipment_access,motivation_score,workout_name,muscle_groups,equipment_needed,target_workout_type,target_duration_min,target_intensity_level,estimated_calories,data_source,sleep_hours
5398,2026-03-29T00:16:17.033190,18.0,25.0,15.1,1,0,59,202,143,37.1,endurance,90,5,63,morning,group,fair,high,9,2.4,very_active,none,none,10.0,Bro Split - Novice Day 5,"legs,back,chest",True,strength,42,6,105.0,bodybuilding,
3078,2025-09-18T00:16:16.964208,29.0,,28.5,1,0,63,191,128,35.9,strength,45,5,77,night,online_class,poor,moderate,9,2.2,lightly_active,none,home_gym,8.0,WOD-8129,full_body,True,hiit,10,7,34.0,crossfit,
6051,2025-05-31T00:16:17.049923,18.0,28.0,22.5,1,0,55,202,147,38.3,flexibility,60,5,90,morning,group,good,low,1,4.4,moderately_active,major,minimal,2.0,Bro Split - Novice Day 2,"arms,legs,shoulders",True,strength,31,4,86.0,bodybuilding,
6503,2026-01-16T00:16:17.064623,24.0,25.9,14.1,1,0,83,196,113,34.2,muscle_gain,30,6,32,evening,group,good,moderate,6,3.3,sedentary,none,home_gym,5.0,Push - Intermediate Day 3,"chest,shoulders,arms",True,strength,21,7,54.0,bodybuilding,
3602,2025-06-29T00:16:16.980127,33.0,25.1,11.9,3,1,65,187,122,45.7,muscle_gain,30,5,100,evening,group,good,low,3,2.6,lightly_active,minor,home_gym,4.0,Restorative Flow,"full_body,flexibility",True,flexibility,30,6,37.0,yoga_patterns,
9820,2025-11-10T00:16:17.161438,27.0,22.2,18.4,4,2,64,193,129,40.2,muscle_gain,45,6,82,evening,group,good,moderate,7,1.7,very_active,chronic,none,4.0,Push - Intermediate Day 5,"chest,shoulders,arms",True,strength,45,7,99.0,bodybuilding,
933,2025-09-02T00:16:16.897137,30.0,20.9,24.2,6,3,62,190,128,47.2,endurance,30,4,63,morning,group,good,low,5,0.1,extremely_active,none,outdoor,4.0,WOD-7986,full_body,True,hiit,15,6,57.0,crossfit,
34,2026-02-10T00:16:16.871226,,26.5,21.3,1,0,66,199,133,40.5,muscle_gain,45,3,69,night,partner,poor,low,9,3.4,lightly_active,minor,outdoor,7.0,Upper - Intermediate Day 2,"chest,back,shoulders,arms",True,strength,31,6,82.0,bodybuilding,
305,2025-12-27T00:16:16.880997,,25.6,26.6,1,0,55,197,142,35.9,athletic_performance,45,5,81,afternoon,solo,excellent,chronic,7,2.3,moderately_active,none,home_gym,1.0,WOD-6870,full_body,True,hiit,10,10,46.0,crossfit,
8928,2025-05-24T00:16:17.135672,48.0,28.9,31.0,6,5,60,172,112,48.9,general_health,60,3,83,afternoon,online_class,good,low,7,2.8,moderately_active,none,none,6.0,Legs - Intermediate Day 1,"legs,core",True,strength,45,7,130.0,bodybuilding,
