row_id,timestamp,user_age,user_bmi,user_body_fat_pct,fitness_level,experience_years,resting_heart_rate,max_heart_rate,heart_rate_reserve,vo2_max_estimate,fitness_goal,time_available_min,weekly_consistency_days,workout_adherence_pct,preferred_timing,social_preference,sleep_quality,stress_level,diet_quality_score,hydration_liters,activity_level,injury_history,equipment_access,motivation_score,workout_name,muscle_groups,equipment_needed,target_workout_type,target_duration_min,target_intensity_level,estimated_calories,data_source,sleep_hours
4280,2026-05-02T00:16:17.000362,23.0,,18.6,1,1,64.0,197,133,38.6,rehabilitation,45,4,67,night,online_class,good,low,6,2.6,lightly_active,none,minimal,6.0,Bro Split - Advanced Day 5,"shoulders,chest,back",True,strength,31.0,9,83.0,bodybuilding,
5086,2025-10-24T00:16:17.022219,47.0,27.1,19.9,1,0,67.0,173,106,39.8,general_health,30,3,76,evening,online_class,good,high,9,2.9,lightly_active,none,minimal,6.0,Bro Split - Novice Day 3,"core,back,legs",True,strength,21.0,5,56.0,bodybuilding,
6481,2026-03-06T00:16:17.064623,23.0,25.7,20.7,1,1,52.0,197,145,31.7,endurance,15,7,56,afternoon,group,excellent,low,5,1.9,sedentary,minor,full_gym,,WOD-2719,full_body,True,hiit,10.0,6,47.0,crossfit,
6830,2025-07-13T00:16:17.075315,30.0,28.3,22.2,10,7,63.0,190,127,59.2,strength,90,4,72,afternoon,partner,excellent,moderate,5,3.2,extremely_active,minor,none,10.0,Bro Split - Intermediate Day 5,"arms,legs,chest",True,strength,72.0,8,203.0,bodybuilding,
1059,2025-09-27T00:16:16.902704,47.0,25.3,25.2,1,1,62.0,173,111,40.6,endurance,20,6,56,morning,solo,fair,high,7,2.6,very_active,none,minimal,2.0,WOD-8525,full_body,True,hiit,14.0,7,64.0,crossfit,
5339,2025-10-03T00:16:17.032175,36.0,,17.3,1,0,63.0,184,121,35.9,rehabilitation,90,5,74,afternoon,solo,good,low,10,2.2,lightly_active,none,minimal,5.0,Push - Novice Day 4,"chest,shoulders,arms",True,???,62.0,6,177.0,bodybuilding,
2095,2025-08-31T00:16:16.932327,43.0,22.1,22.2,7,5,68.0,177,109,54.5,athletic_performance,60,5,51,afternoon,online_class,excellent,low,6,3.1,moderately_active,none,home_gym,7.0,Pull - Intermediate Day 1,"back,arms",True,strength,60.0,7,132.0,bodybuilding,
9492,2026-01-22T00:16:17.152227,18.0,25.0,14.3,1,0,65.0,202,137,36.3,rehabilitation,45,3,80,evening,group,good,,9,3.4,moderately_active,minor,,8.0,Legs - Advanced Day 6,"legs,core",True,strength,31.0,9,77.0,bodybuilding,
2358,2025-10-03T00:16:16.942402,22.0,18.7,15.8,2,2,64.0,198,134,42.4,general_health,30,6,40,evening,group,good,low,10,3.5,extremely_active,none,home_gym,3.0,Vinyasa Flow,"full_body,flexibility",False,flexibility,21.0,3,19.0,yoga_patterns,
8776,2025-06-09T00:16:17.131016,31.0,27.9,31.9,2,2,61.0,189,128,37.7,weight_loss,15,1,80,morning,partner,fair,moderate,10,2.7,moderately_active,minor,full_gym,7.0,WOD-6313,full_body,True,hiit,10.0,9,51.0,crossfit,
3333,2025-05-04T00:16:16.972168,26.0,22.3,26.3,10,13,45.0,194,149,58.4,rehabilitation,60,5,100,night,group,fair,moderate,6,3.8,extremely_active,none,minimal,3.0,Upper - Advanced Day 1,"chest,back,shoulders,arms",True,strength,72.0,9,,bodybuilding,
2912,2025-10-31T00:16:16.958464,25.0,24.9,37.2,10,7,,195,143,58.4,weight_loss,90,6,100,afternoon,partner,fair,chronic,7,3.1,lightly_active,major,minimal,6.0,Legs - Intermediate Day 4,"legs,core",True,strength,90.0,5,224.0,bodybuilding,
3865,2026-02-17T00:16:16.987428,18.0,30.8,22.7,1,0,54.0,202,148,33.7,strength,30,4,78,afternoon,online_class,good,high,9,2.1,extremely_active,none,,4.0,Vinyasa Flow,"full_body,flexibility",True,flexibility,,5,,yoga_patterns,
7895,2025-12-07T00:16:17.104672,26.0,22.8,21.6,1,0,77.0,194,117,36.5,general_health,15,5,80,morning,online_class,good,moderate,5,3.0,lightly_active,major,outdoor,4.0,WOD-8240,full_body,True,hiit,10.0,8,41.0,crossfit,
4082,2026-02-06T00:16:16.994519,,,20.9,1,0,57.0,178,121,36.2,athletic_performance,30,4,64,evening,group,poor,moderate,8,4.5,moderately_active,none,none,5.0,Legs - Novice Day 5,"legs,core",True,strength,21.0,5,46.0,bodybuilding,
6537,2025-11-10T00:16:17.066148,33.0,26.2,25.1,2,2,72.0,187,115,41.7,endurance,45,6,93,morning,partner,excellent,low,5,3.7,moderately_active,none,,,Full Body - Novice Day 4,"core,shoulders,legs",True,strength,31.0,6,81.0,bodybuilding,
8362,2025-12-01T00:16:17.119442,,31.6,20.2,1,0,59.0,200,141,35.5,weight_loss,60,6,80,morning,online_class,poor,,4,2.1,extremely_active,minor,full_gym,9.0,Lower - Intermediate Day 2,"legs,core",True,strength,42.0,7,132.0,bodybuilding,
7004,2025-05-18T00:16:17.075618,22.0,,21.2,1,1,60.0,198,138,40.6,strength,60,6,61,night,solo,good,high,9,2.6,lightly_active,none,none,7.0,Full Body - Advanced Day 4,"arms,back,legs",True,strength,42.0,8,,bodybuilding,
1512,2025-07-12T00:16:16.916482,49.0,27.3,15.9,3,2,60.0,171,111,44.1,general_health,90,2,90,afternoon,online_class,excellent,low,6,4.0,moderately_active,none,,3.0,Hatha Flow,"full_body,flexibility",True,flexibility,45.0,6,,yoga_patterns,
2563,2025-12-01T00:16:16.948260,18.0,26.3,31.7,1,0,71.0,202,131,40.3,endurance,30,2,94,afternoon,partner,good,chronic,7,2.0,moderately_active,chronic,home_gym,1.0,Upper - Advanced Day 1,"chest,back,shoulders,arms",True,null,21.0,9,55.0,bodybuilding,
1696,2025-10-16T00:16:16.920054,39.0,35.2,11.7,3,1,58.0,181,123,43.0,rehabilitation,15,3,60,night,group,good,,4,3.3,very_active,none,outdoor,9.0,WOD-5627,full_body,True,hiit,15.0,6,96.0,crossfit,
5643,2026-04-09T00:16:17.041011,31.0,,20.1,7,4,65.0,189,124,54.4,flexibility,30,6,100,morning,partner,fair,chronic,4,1.7,very_active,major,none,9.0,WOD-6641,full_body,True,hiit,20.0,9,89.0,crossfit,
1659,2026-03-15T00:16:16.920054,27.0,21.5,8.5,2,2,,193,125,42.5,muscle_gain,30,7,42,night,online_class,fair,low,8,2.1,extremely_active,none,full_gym,8.0,WOD-4015,full_body,True,hiit,,10,82.0,crossfit,
6545,2025-06-03T00:16:17.066148,28.0,30.0,20.2,5,3,61.0,192,131,48.2,strength,90,6,49,evening,partner,poor,moderate,3,2.5,moderately_active,none,outdoor,3.0,Legs - Novice Day 1,"legs,core",True,strength,75.0,5,225.0,bodybuilding,
4891,2025-12-15T00:16:17.016779,26.0,25.0,23.1,1,1,63.0,194,131,38.8,endurance,60,3,52,night,solo,excellent,moderate,3,3.0,moderately_active,none,home_gym,6.0,Upper - Novice Day 6,"chest,back,shoulders,arms",True,strength,42.0,6,105.0,bodybuilding,
644,2026-03-16T00:16:16.890881,42.0,27.1,15.0,10,13,52.0,178,126,57.7,strength,60,5,100,morning,partner,fair,chronic,4,3.1,sedentary,none,outdoor,1.0,Full Body - Novice Day 6,"shoulders,chest,back",True,strength,54.0,6,146.0,bodybuilding,
5098,2025-08-31T00:16:17.022219,26.0,29.8,30.8,10,15,57.0,194,137,61.7,weight_loss,15,6,43,afternoon,online_class,fair,moderate,7,3.2,very_active,none,none,8.0,WOD-3475,full_body,True,hiit,18.0,8,98.0,crossfit,
8401,2025-06-08T00:16:17.119880,39.0,24.8,20.0,1,0,53.0,181,128,38.0,flexibility,60,3,44,morning,partner,excellent,moderate,3,4.5,very_active,none,minimal,1.0,Power Yoga Flow,"full_body,flexibility",False,flexibility,600.0,5,52.0,yoga_patterns,
4900,2026-03-04T00:16:17.016779,33.0,23.5,19.7,1,1,74.0,187,113,35.4,strength,15,4,68,night,partner,fair,low,7,3.3,extremely_active,none,outdoor,3.0,WOD-5880,full_body,True,hiit,10.0,10,43.0,crossfit,
505,2025-10-10T00:16:16.883661,38.0,29.0,18.2,8,6,52.0,182,130,54.5,athletic_performance,45,5,96,night,group,good,high,5,2.1,very_active,none,home_gym,5.0,Legs - Novice Day 1,"legs,core",True,strength,45.0,5,130.0,bodybuilding,
4413,2026-04-29T00:16:17.001362,29.0,21.4,23.0,1,0,62.0,191,129,34.5,athletic_performance,30,7,93,evening,group,fair,moderate,5,3.5,sedentary,minor,minimal,,   Upper - Advanced Day 5 ### ,"chest,back,shoulders,arms",True,strength,,9,44.0,bodybuilding,
2399,2025-12-11T00:16:16.943466,,22.2,14.0,1,0,53.0,200,147,33.9,rehabilitation,30,1,90,evening,online_class,good,low,8,2.5,moderately_active,none,home_gym,7.0,Full Body - Novice Day 2,"back,legs,core",True,strength,21.0,6,46.0,bodybuilding,
893,2025-10-04T00:16:16.897137,28.0,23.3,24.1,8,4,58.0,192,134,50.5,rehabilitation,45,3,20,night,solo,good,high,8,2.4,sedentary,none,outdoor,,Pull - Intermediate Day 5,"back,arms",True,strength,45.0,7,104.0,bodybuilding,
1549,2025-08-30T00:16:16.917483,,20.8,23.4,1,0,55.0,189,134,33.4,flexibility,90,4,80,morning,group,excellent,moderate,4,2.9,extremely_active,none,full_gym,,Full Body - Intermediate Day 3,"shoulders,arms,back",True,strength,62.0,7,128.0,bodybuilding,
1534,2025-09-01T00:16:16.917483,47.0,27.7,18.5,1,0,,173,113,41.3,general_health,60,5,91,afternoon,group,excellent,low,5,2.9,sedentary,none,outdoor,,Hatha Flow,"full_body,flexibility",False,flexibility,,3,42.0,yoga_patterns,
8307,2026-03-08T00:16:17.117411,25.0,22.2,13.5,10,14,51.0,195,144,57.4,muscle_gain,60,5,89,afternoon,group,good,chronic,7,3.3,sedentary,none,minimal,5.0,Lower - Novice Day 5,"legs,core",True,strength,54.0,6,119.0,bodybuilding,
9152,2026-02-05T00:16:17.141549,5.0,26.1,23.8,1,1,63.0,187,124,39.5,endurance,45,4,47,evening,solo,good,moderate,10,1.7,moderately_active,minor,full_gym,5.0,Legs - Advanced Day 6,"legs,core",True,strength,31.0,9,80.0,bodybuilding,
9305,2025-05-27T00:16:17.145275,31.0,28.9,21.4,1,0,50.0,189,139,34.0,strength,60,5,82,morning,partner,fair,high,5,3.2,sedentary,none,full_gym,6.0,Push - Advanced Day 1,"chest,shoulders,arms",True,strength,42.0,8,121.0,bodybuilding,
2010,2026-03-08T00:16:16.932327,19.0,29.4,20.9,1,1,72.0,201,129,37.7,general_health,90,3,46,morning,solo,excellent,high,6,2.7,extremely_active,none,outdoor,5.0,Power Yoga Flow,"full_body,flexibility",True,flexibility,31.0,3,,yoga_patterns,
1346,2026-04-03T00:16:16.911079,42.0,27.0,17.1,1,1,63.0,178,115,43.0,general_health,20,5,85,evening,online_class,good,low,7,1.5,moderately_active,none,outdoor,1.0,WOD-7649,full_body,True,hiit,14.0,9,69.0,crossfit,
3834,2025-07-28T00:16:16.986427,22.0,19.9,20.9,5,4,77.0,198,121,42.5,weight_loss,90,1,100,afternoon,online_class,excellent,low,7,3.0,lightly_active,none,home_gym,5.0,Power Yoga Flow,"full_body,flexibility",False,flexibility,20.0,6,19.0,yoga_patterns,
6542,2025-11-22T00:16:17.066148,28.0,29.0,22.6,4,3,53.0,192,139,44.1,rehabilitation,15,1,20,night,partner,good,high,7,2.4,extremely_active,major,home_gym,6.0,WOD-4490,full_body,True,hiit,15.0,6,79.0,crossfit,
6860,2025-11-01T00:16:17.075618,,21.7,23.9,1,1,76.0,191,115,37.5,athletic_performance,90,4,80,night,partner,good,low,7,3.5,moderately_active,none,full_gym,,Vinyasa Flow,"full_body,flexibility",True,flexibility,,6,33.0,yoga_patterns,
8553,2025-12-19T00:16:17.124878,38.0,28.9,18.7,1,0,67.0,182,115,34.9,strength,30,3,53,afternoon,group,excellent,moderate,8,1.3,very_active,none,minimal,6.0,Legs - Novice Day 2,"legs,core",True,strength,,6,60.0,bodybuilding,
9099,2025-05-20T00:16:17.139550,22.0,26.1,30.5,3,2,63.0,198,135,40.3,weight_loss,60,2,75,evening,partner,good,moderate,6,3.8,very_active,none,home_gym,1.0,Full Body - Novice Day 1,"legs,chest,core",True,strength,60.0,6,,bodybuilding,
17,2025-11-21T00:16:16.871226,23.0,30.0,20.2,7,5,65.0,197,132,52.8,general_health,90,1,33,evening,partner,fair,chronic,7,1.4,extremely_active,none,minimal,4.0,unknown_user Pull - Novice Day 1,"back,arms",True,strength,90.0,6,270.0,bodybuilding,
9893,2025-09-01T00:16:17.163435,35.0,35.3,36.0,1,1,77.0,185,108,37.6,weight_loss,30,4,92,night,group,good,chronic,6,3.8,sedentary,none,minimal,9.0,Upper - Advanced Day 6,"chest,back,shoulders,arms",True,strength,21.0,10,74.0,bodybuilding,
5666,2025-12-28T00:16:17.041011,,27.1,21.0,4,1,76.0,185,109,46.5,flexibility,90,7,48,night,partner,good,high,8,2.4,sedentary,chronic,none,4.0,Legs - Advanced Day 1,"legs,core",True,strength,60.0,8,162.0,bodybuilding,
5369,2026-01-29T00:16:17.032175,25.0,,19.3,7,5,63.0,195,132,50.3,flexibility,60,4,53,afternoon,partner,excellent,moderate,3,2.2,extremely_active,none,home_gym,6.0,Upper - Intermediate Day 6,"chest,back,shoulders,arms",True,strength,60.0,7,166.0,bodybuilding,
